noeea,name,x_icold,y_icold,score,x_prop,y_prop,x_val,y_val,area,cap_total,ic_city,country,lake_name,river_id,river_name,year_opp,year_dead,comments,valid,ic_continent,is_main,noeea_m,is_icold,alias,ic_year,ic_state,ic_high,ic_high_guessed,ic_length,ic_length_guessed,ic_vol,ic_purpose,ic_owner,ic_note,ic_particular,ic_international,ic_sealing,ic_foundation,ic_capacity,ic_area,ic_spill,ic_type_spill,ic_engineer,ic_contractor,ic_p_mw,ic_e_whpyear,ic_irrigation,ic_floodstock,ic_settlement,
"DSP0489","SUSQUEDA","2.52","41.98","0","-32768","-32768","0","0","4630","233000","SUSQUEDA","SP","","11542","","-32768","-32768","","","","t","","t","","1968","GIRONA","135","f","510","f","662","HS","HECSA","","","","","R","233000","4630","2800","L","A-REBOLLO","DRAGADOS","","","","","",
"DSP0490","TORONJO","-15.19","28.01","0","-32768","-32768","0","0","9","50","VEGA DE SAN MATEO","SP","","8767","","-32768","-32768","","","","t","","t","","1968","PALMAS, LAS","17","f","74","f","5","I","DIEGO VERA","","","","","R","50","9","","L","J-ALONSO URQUIJO","","","","","","",
"DSP0491","VALLAT","-0.44","40.05","0","-32768","-32768","0","0","60","600","CIRAT","SP","","10387","","-32768","-32768","","","","t","","t","","1968","CASTELLON","23","f","165","f","25","I","IBERDROLA GENERACION S.A.","","","","","R/S","600","60","1650","V","D.M. BOUDES Y M. DE LA HOZ","HIDROLA","","","","","",
"DSP0493","ANGELES, LOS","-4.24","40.79","0","-32768","-32768","0","0","168","1760","VEGAS DE MATUTE","SP","","10450","","-32768","-32768","","","","t","","t","","1969","SEGOVIA","37","f","110","f","6","R","COMPAÑÍA INTERNACIONAL DE BIENES RAICES S.A.","LOS ANGELES DE SAN RAFAEL","","","","R","1760","168","360","L","LOPEZ, RAMIREZ Y GIMENEZ","COVILES","","","","","",
"DSP0494","ARACENA","-6.45","37.91","0","-32768","-32768","0","0","8440","129000","PUERTO MORAL, ARACENA Y ZUFRE","SP","","9697","","-32768","-32768","","","","t","","t","","1969","HUELVA","60","f","612","f","315","H","ESTADO","","","","","R","129000","8440","2000","V","J-D-MILLAN","AGROMAN","","","","","",
"DSP0495","AZUTAN","-5.08","39.77","0","-32768","-32768","0","0","12500","113000","AZUTAN Y ALCOLEA DE TAJO","SP","","11489","","-32768","-32768","","","","t","","t","","1969","TOLEDO","55","f","500","f","212","HI","IBERDROLA","","","","","R","113000","12500","6030","V","D. BOUDES Y N. NAVALON","ENTRECANALES Y TAVORA","","","","","",
"DSP0496","BARRANCO HONDO / PARRALES","-15.27","28.09","0","-32768","-32768","0","0","20","170","GALDAR","SP","","9679","","-32768","-32768","","","","t","","t","","1969","PALMAS, LAS","30","f","119","f","21","I","GRACIANO MORALES","","","","","R","170","20","","L","MELCHOR CAMON","","","","","","",
"DSP0497","CANDELARIA","-15.27","28.09","0","-32768","-32768","0","0","39","450","ARTENARA","SP","","8038","","-32768","-32768","","","","t","","t","","1969","PALMAS, LAS","32","f","113","f","26","I","AUTONOMIA CANARIAS","","","","","R","450","39","21","L","S-ALONSO VEGA Y A. CAÑAS","M. HERNANDEZ","","","","","",
"DSP0498","CASTRELO / MIÑO","-8.11","42.29","0","-32768","-32768","0","0","7900","60000","RIBADAVIA","SP","","10394","","-32768","-32768","","","","t","","t","","1969","OURENSE","30","f","173","f","109","H","UNION FENOSA","CASTRELO MIÑO","","","","R","60000","7900","9748","V","L. YORDI Y A. CARREÑO","DRAGADOS","","","","","",
"DSP0499","CERNADILLA","-6.45","42.02","0","-32768","-32768","0","0","13940","255400","CERNADILLA- MANZANAL DE ARRIBA","SP","","11543","","-32768","-32768","","","","t","","t","","1969","ZAMORA","69","f","388","f","301","H","IBERDROLA","","","","","R","255400","13940","1129","V","P. MARTINEZ ARTOLA","DRAGADOS","","","","","",
